label,run,status,bad_patterns,target_found,resource_count,details,elapsed
united-way-berks,1,CLEAN,[],True,3,"[{""name"": ""United Way of Berks County \u2013 PA 211 (Basic Needs Referral Line)"", ""phones"": [""211""], ""addresses"": [""United Way of Berks County, 450 Penn Street, Reading, PA 19602""]}, {""name"": ""United Way of Berks County \u2013 Safety Net Services (Basic Needs Funding & Partner Network)"", ""phones"": [""610-685-4574""], ""addresses"": [""United Way of Berks County, 450 Penn Street, Reading, PA 19602""]}, {""name"": ""United Way of Berks County \u2013 Guide for Help (Local Basic Needs Navigation)"", ""phones"":",22.9
united-way-berks,2,CLEAN,[],True,3,"[{""name"": ""PA 211 East \u2013 Berks (United Way of Berks County)"", ""phones"": [""211""], ""addresses"": [""United Way of Berks County, 450 Penn Street, Reading, PA 19602""]}, {""name"": ""Safety Net Services \u2013 United Way of Berks County"", ""phones"": [""211""], ""addresses"": [""United Way of Berks County, 450 Penn Street, Reading, PA 19602""]}, {""name"": ""Guide for Help \u2013 United Way of Berks County"", ""phones"": [""211""], ""addresses"": [""United Way of Berks County, 450 Penn Street, Reading, PA 19602""]}]",24.4
united-way-berks,3,ERROR,"['631 Penn St', '631 Penn Street']",True,3,"[{""name"": ""United Way of Berks County \u2013 PA 211 Information and Referral"", ""phones"": [""211"", ""610-685-4550""], ""addresses"": [""631 Penn Street, Reading, PA 19601""]}, {""name"": ""United Way of Berks County \u2013 Safety Net Services Network"", ""phones"": [""211"", ""610-685-4550""], ""addresses"": [""631 Penn Street, Reading, PA 19601""]}, {""name"": ""United Way of Berks County \u2013 Guide for Help (Basic Needs Resource Guide)"", ""phones"": [""211"", ""610-685-4550""], ""addresses"": [""631 Penn Street, Reading, PA ",25.8
united-way-berks,4,CLEAN,[],True,3,"[{""name"": ""United Way of Berks County \u2013 PA 211 Information & Referral (Berks)"", ""phones"": [""211"", ""1-855-567-5341"", ""610-685-4550""], ""addresses"": [""25 North 2nd Street, Suite 101, Reading, PA 19601""]}, {""name"": ""United Way of Berks County \u2013 Guide for Help (Basic Needs Resource Guide)"", ""phones"": [""610-685-4550""], ""addresses"": [""25 North 2nd Street, Suite 101, Reading, PA 19601""]}, {""name"": ""United Way of Berks County \u2013 Safety Net & Agency Partner Network (Basic Needs Focus)"", ""pho",24.7
united-way-berks,5,ERROR,"['631 Penn St', '631 Penn Street']",True,3,"[{""name"": ""United Way of Berks County \u2013 PA 211 Information & Referral"", ""phones"": [""211"", ""610-685-4550""], ""addresses"": [""631 Penn Street, Reading, PA 19601""]}, {""name"": ""United Way of Berks County \u2013 Safety Net Services (Agency Partner Network)"", ""phones"": [""610-685-4550""], ""addresses"": [""United Way of Berks County, 450 Penn Street, Reading, PA 19602""]}, {""name"": ""United Way of Berks County \u2013 Guide for Help (Basic Needs Navigation)"", ""phones"": [""610-685-4550""], ""addresses"": [""Unit",24.3
central-health-bridge,1,ERROR,['512-978-8130'],True,4,"[{""name"": ""Central Health Bridge Program & Bridge Clinic (for Unhoused Residents)"", ""phones"": [""512-978-8130""], ""addresses"": [""Capital Plaza Clinic \u2013 5330 N Interstate 35 Frontage Rd, Austin, TX 78751"", ""Central Health Downtown Campus \u2013 1111 E Cesar Chavez St, Austin, TX 78702""]}, {""name"": ""Central Health Bridge Mobile (Mobile Clinic for People Experiencing Homelessness)"", ""phones"": [""512-978-8130""], ""addresses"": [""Based at: Central Health Downtown Campus, 1111 E Cesar Chavez St, Austi",27.1
central-health-bridge,2,CLEAN,[],True,3,"[{""name"": ""Central Health Bridge Program and Bridge Mobile (for Unhoused Residents)"", ""phones"": [""(512) 978-9015""], ""addresses"": [""Capital Plaza Clinic \u2013 Central Health/CommUnityCare, 6601 S I-35 Frontage Rd, Austin, TX 78744""]}]",26.8
central-health-bridge,3,CLEAN,[],True,4,"[{""name"": ""Central Health Bridge Program & Bridge Clinic (Capital Plaza)"", ""phones"": [""(512) 978-8130""], ""addresses"": [""Central Health Capital Plaza Clinic, Austin, TX 78752""]}, {""name"": ""Central Health Bridge Mobile (Mobile Clinic for People Experiencing Homelessness)"", ""phones"": [""(512) 978-8130""], ""addresses"": [""Central Health Downtown Campus (base site), 601 E 15th St, Austin, TX 78701""]}]",28.1
central-health-bridge,4,CLEAN,[],True,3,"[{""name"": ""Central Health Bridge Program & Bridge Mobile (for People Experiencing Homelessness)"", ""phones"": [""(512) 978-8130""], ""addresses"": [""Capital Plaza Clinic (Bridge Clinic site) \u2013 see Central Health for current address and hours"", ""Central Health Downtown Campus (Bridge Mobile base), Austin, TX 78701""]}]",24.8
central-health-bridge,5,CLEAN,[],True,3,"[{""name"": ""Central Health Bridge Clinic & Bridge Mobile (for People Experiencing Homelessness)"", ""phones"": [""(512) 978-9401""], ""addresses"": [""5339 N Interstate Hwy 35, Suite 100, Austin, TX 78723"", ""Downtown Campus / Clinical Education Center (former Children\u2019s Hospital of Austin), near 15th St & I-35, Austin, TX 78701""]}]",21.3
st-austin-parish,1,ERROR,['January 1'],True,1,"[{""name"": ""St. Austin Catholic Parish \u2013 Outreach to Persons in Need (Rent & Utilities)"", ""phones"": [""512-477-9471""], ""addresses"": [""2026 Guadalupe St, Austin, TX 78705""]}]",16.2
st-austin-parish,2,ERROR,['January 2026'],True,1,"[{""name"": ""St. Austin Catholic Parish \u2013 Outreach to Persons in Need (Rent & Utilities)"", ""phones"": [""512-477-9471""], ""addresses"": [""2026 Guadalupe St, Austin, TX 78705""]}]",15.0
st-austin-parish,3,CLEAN,[],True,1,"[{""name"": ""St. Austin Catholic Parish \u2013 Outreach to Persons in Need (Rent & Utilities)"", ""phones"": [""512-477-9471""], ""addresses"": [""2026 Guadalupe St, Austin, TX 78705""]}]",17.3
st-austin-parish,4,ERROR,['January 1'],True,1,"[{""name"": ""St. Austin Catholic Parish \u2013 Outreach to Persons in Need (Rent & Utilities)"", ""phones"": [""512-477-9471""], ""addresses"": [""2026 Guadalupe St, Austin, TX 78705""]}]",17.4
